date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01 00:00:00,,,,,,,,,,
2017-01-02 00:00:00,,,,,,,,,,
2017-01-03 00:00:00,,,,,,,,,,
2017-01-04 00:00:00,5.9,,,,,,8.6,,,
2017-01-05 00:00:00,,,,,,,,,,
2017-01-06 00:00:00,5.9,,,,,,9,,,
2017-01-07 00:00:00,,,,,,,,,,
2017-01-08 00:00:00,,,,,,,,,,
2017-01-09 00:00:00,,,,,,,,,,
2017-01-10 00:00:00,7.8,,,,,,16.5,,,
2017-01-11 00:00:00,9.3,,,,,,23.9,,,
2017-01-12 00:00:00,5,,,,,,14.6,,,
2017-01-13 00:00:00,3.6,,,,,,21.8,,,
2017-01-14 00:00:00,,,,,,,,,,
2017-01-15 00:00:00,,,,,,,,,,
2017-01-16 00:00:00,,,,,,,,,,
2017-01-17 00:00:00,6.5,,,,,,8,,1034.3,
2017-01-18 00:00:00,,,,,,,,,,
2017-01-19 00:00:00,0.9,,,,,,7.7,,,
2017-01-20 00:00:00,0.8,,,,,,10.2,,,
2017-01-21 00:00:00,,,,,,,,,,
2017-01-22 00:00:00,,,,,,,,,,
2017-01-23 00:00:00,,,,,,,,,,
2017-01-24 00:00:00,0.3,,,,,,3,,,
2017-01-25 00:00:00,2,,,,,,11.1,,,
2017-01-26 00:00:00,3.3,,,,,,24.4,,,
2017-01-27 00:00:00,6.8,,,,,,20.2,,,
2017-01-28 00:00:00,,,,,,,,,,
2017-01-29 00:00:00,,,,,,,,,,
2017-01-30 00:00:00,,,,,,,,,,
2017-01-31 00:00:00,,,,,,,,,,
2017-02-01 00:00:00,9.8,,,,,,17.2,,,
2017-02-02 00:00:00,10.4,,,,,,34.6,,,
2017-02-03 00:00:00,7.2,,,,,,22.2,,,
2017-02-04 00:00:00,,,,,,,,,,
2017-02-05 00:00:00,,,,,,,,,,
2017-02-06 00:00:00,,,,,,,,,,
2017-02-07 00:00:00,6,,,,,,,,,
2017-02-08 00:00:00,4.2,,,,,,4.5,,,
2017-02-09 00:00:00,1.4,,,,,,12.3,,,
2017-02-10 00:00:00,1.8,,,,,,15.7,,,
2017-02-11 00:00:00,,,,,,,,,,
2017-02-12 00:00:00,,,,,,,,,,
2017-02-13 00:00:00,,,,,,,,,,
2017-02-14 00:00:00,8.2,,,,,,20.6,,,
2017-02-15 00:00:00,9.3,,,,,,12.1,,,
2017-02-16 00:00:00,,,,,,,,,,
2017-02-17 00:00:00,6.1,,,,,,,,,
2017-02-18 00:00:00,,,,,,,,,,
2017-02-19 00:00:00,,,,,,,,,,
2017-02-20 00:00:00,,,,,,,,,,
2017-02-21 00:00:00,11.5,,,,,,21.7,,,
2017-02-22 00:00:00,11.9,,,,,,27.4,,,
2017-02-23 00:00:00,9.2,,,,,,34.7,,1003.3,
2017-02-24 00:00:00,,,,,,,,,,
2017-02-25 00:00:00,,,,,,,,,,
2017-02-26 00:00:00,,,,,,,,,,
2017-02-27 00:00:00,,,,,,,,,,
2017-02-28 00:00:00,5.5,,,,,,,,,
2017-03-01 00:00:00,6.7,,,,,,16.5,,,
2017-03-02 00:00:00,8.4,6,12,,,,21.6,,1009.9,
2017-03-03 00:00:00,9,,,,,,21.8,,,
2017-03-04 00:00:00,,,,,,,,,,
2017-03-05 00:00:00,,,,,,,,,,
2017-03-06 00:00:00,,,,,,,,,,
2017-03-07 00:00:00,6.3,,,,,,,,,
2017-03-08 00:00:00,12.2,,,,,,15.8,,,
2017-03-09 00:00:00,12.5,,,,,,10.6,,,
2017-03-10 00:00:00,10.2,,,,,,10,,,
2017-03-11 00:00:00,,,,,,,,,,
2017-03-12 00:00:00,,,,,,,,,,
2017-03-13 00:00:00,,,,,,,,,,
2017-03-14 00:00:00,11.4,,,,,,13.8,,,
2017-03-15 00:00:00,9.7,,,,,,4.9,,1032.3,
2017-03-16 00:00:00,9,,,,,,6.8,,,
2017-03-17 00:00:00,7.8,,,,,,,,,
2017-03-18 00:00:00,11.7,,,,,,23.7,,,
2017-03-19 00:00:00,,,,,,,,,,
2017-03-20 00:00:00,,,,,,,,,,
2017-03-21 00:00:00,6.2,,,,,,19.2,,,
2017-03-22 00:00:00,5.7,,,,,,,,,
2017-03-23 00:00:00,5.8,,,,,,21.7,,,
2017-03-24 00:00:00,8,,,,,,24.1,,,
2017-03-25 00:00:00,9,,,,,,17.3,,1026.6,
2017-03-26 00:00:00,9,,,,,,15.5,,1021,
2017-03-27 00:00:00,8.4,2,14,,,,10.7,,1019.3,
2017-03-28 00:00:00,8.8,,,,,,14.2,,,
2017-03-29 00:00:00,12.3,11,14,,,,23,,,
2017-03-30 00:00:00,12.2,,,,,,18.1,,,
2017-03-31 00:00:00,11.4,,,,,,20,,1007.3,
2017-04-01 00:00:00,9.6,,,,,,11.8,,,
2017-04-02 00:00:00,9.5,,,,,,8.8,,1023.3,
2017-04-03 00:00:00,8.1,1,13,,,,12.3,,,
2017-04-04 00:00:00,10.9,,,,,,12.8,,,
2017-04-05 00:00:00,8.4,,,,,,10.3,,,
2017-04-06 00:00:00,8.4,,,,,,6,,,
2017-04-07 00:00:00,8.1,,,,,,7.5,,,
2017-04-08 00:00:00,8.2,,,,,,8.1,,1022.3,
2017-04-09 00:00:00,10.9,,,,,,15.7,,,
2017-04-10 00:00:00,9.5,,,,,,12.8,,1026.7,
2017-04-11 00:00:00,8.5,,,,,,,,1028.5,
2017-04-12 00:00:00,9.6,,,,,,13.9,,1021.8,
2017-04-13 00:00:00,,,,,,,,,,
2017-04-14 00:00:00,8.3,,,,,,7.8,,1018.1,
2017-04-15 00:00:00,,,,,,,,,,
2017-04-16 00:00:00,,,,,,,,,,
2017-04-17 00:00:00,11.3,,,,,,12.9,,,
2017-04-18 00:00:00,,,,,,,,,,
2017-04-19 00:00:00,7.9,,,,,,8.3,,1035.6,
2017-04-20 00:00:00,8.1,,,,,,5.8,,1035.9,
2017-04-21 00:00:00,11.5,,,,,,9,,,
2017-04-22 00:00:00,12.1,,,,,,6.8,,1028.8,
2017-04-23 00:00:00,,,,,,,,,,
2017-04-24 00:00:00,8.7,,,,,,12.5,,1017.8,
2017-04-25 00:00:00,5.3,,,,,,13.2,,,
2017-04-26 00:00:00,,,,,,,,,,
2017-04-27 00:00:00,5.6,,,,,,11.5,,,
2017-04-28 00:00:00,9.4,,,,,,11.1,,,
2017-04-29 00:00:00,9.9,,,,,,17.7,,,
2017-04-30 00:00:00,,,,,,,,,,
2017-05-01 00:00:00,10.4,,,,,,14.4,,1002.8,
2017-05-02 00:00:00,,,,,,,,,,
2017-05-03 00:00:00,10.1,,,,,,15.1,,1022.2,
2017-05-04 00:00:00,11.8,,,,,,18.3,,1021.1,
2017-05-05 00:00:00,10.7,,,,,,22.8,,1018,
