year	month	month_num	total_hours	n_periods	days_in_month	percent_of_total
2017	Jan	1	114.13388888888889	112	31	15.340576463560335
2017	Feb	2	77.05833333333334	75	28	11.46701388888889
2017	Mar	3	47.93222222222222	59	31	6.442502986857826
2017	Apr	4	28.381944444444446	39	30	3.9419367283950617
2017	May	5	7.324166666666667	12	31	0.9844310035842294
2017	Jun	6	0.5061111111111112	2	30	0.07029320987654322
2017	Jul	7	0	0	31	0
2017	Aug	8	0	0	31	0
2017	Sep	9	0	0	30	0
2017	Oct	10	4.606111111111112	5	31	0.6191009557945043
2017	Nov	11	70.73222222222222	79	30	9.82391975308642
2017	Dec	12	93.73583333333333	98	31	12.598902329749103
2018	Jan	1	106.61111111111111	87	31	14.329450418160098
2018	Feb	2	104.8075	91	28	15.596354166666668
2018	Mar	3	95.68888888888888	76	31	12.861409796893666
2018	Apr	4	22.47138888888889	24	30	3.121026234567901
2018	May	5	1.2497222222222222	1	31	0.16797341696535245
2018	Jun	6	0	0	30	0
2018	Jul	7	0	0	31	0
2018	Aug	8	0	0	31	0
2018	Sep	9	0	0	30	0
2018	Oct	10	15.134166666666667	18	31	2.034162186379928
2018	Nov	11	69.51611111111112	72	30	9.655015432098766
2018	Dec	12	160.43	159	31	21.563172043010752
2019	Jan	1	209.0963888888889	192	31	28.104353345280764
2019	Feb	2	145.39527777777778	163	28	21.63620205026455
2019	Mar	3	117.44361111111111	128	31	15.785431600955793
2019	Apr	4	101.21388888888889	107	30	14.057484567901234
2019	May	5	54.694722222222225	57	31	7.351441158900837
2019	Jun	6	23.368055555555557	26	30	3.2455632716049383
2019	Jul	7	0	0	31	0
2019	Aug	8	0	0	31	0
2019	Sep	9	0.0033333333333333335	1	30	4.62962962962963e-4
2019	Oct	10	57.76444444444444	65	31	7.764038231780167
2019	Nov	11	122.33611111111111	134	30	16.991126543209877
2019	Dec	12	115.61361111111111	169	31	15.53946385902031
2020	Jan	1	130.9152777777778	224	31	17.596139486260455
2020	Feb	2	109.9336111111111	191	29	15.795059067688378
